,日期,成交股數,成交筆數,成交金額,日開盤價,日最高價,日最低價,日收盤價,調整成交量,調整成交金額,漲跌幅,5日均線,10日均線,20日均線,60日均線,日RSV,日K值,日D值,日MACD,日signal,日MACD-OSC,參考指標,參考指標,參考指標,參考指標,參考指標,動能指標,日上軌(2),日中軸,日下軌(2),參考指標,參考指標,參考指標,參考指標,參考指標,參考指標,參考指標,參考指標,所屬族群開始日期,所屬族群回調日期,所屬族群產業合格日期,所屬族群參考指標,所屬族群參考指標,所屬族群參考指標,所屬族群參考指標,所屬族群開始日期,所屬族群回調日期,所屬族群產業合格日期,所屬族群參考指標,所屬族群參考指標,所屬族群參考指標,所屬族群參考指標
0,20230601,109789,133,6539757,59.8,59.8,59.3,59.5,,,0,59.46,59.51,59.46,60.08,80,71.95,66.86,-9.09,-12.95,3.86,54.894,54.894,1.13935,1.26396,45.44,60.44,60.03,59.45,58.88,285466627.9,25167365499,1,0.999486173,1,0.99965552,43.866171,62.71604938,,,,,,,,20221214,,20230322,1.006981131,1.005135743,1.014020542,1.010284913
1,20230602,112523,168,6695539,59.7,59.7,59.3,59.6,,,0.17,59.48,59.52,59.45,60.03,75,72.97,68.9,-7.58,-11.87,4.3,61.376,51.147,1.12763,1.23214,44.03,56.61,60.02,59.45,58.88,285330101.5,25159301538,1.000719649,0.999521743,1.000485056,0.999679587,53.57142857,64.21800948,,,,,,,,20221214,,20230322,1.006981131,1.005135743,1.014020542,1.010284913
2,20230605,143178,158,8524186,59.7,59.8,59.4,59.7,,,0.17,59.54,59.57,59.44,59.98,83.33,76.42,71.41,-5.51,-10.6,5.09,79.543,63.635,1.11926,1.05715,40.29,32.46,59.99,59.44,58.89,285198787.3,25151545261,1.00111839,0.999539781,1.000754396,0.999691713,69.40639269,62.71604938,,,,,,,,20221214,,20230322,1.006981131,1.005135743,1.014020542,1.010284913
3,20230606,88181,105,5262676,59.7,59.8,59.5,59.8,,,0.17,59.62,59.6,59.44,59.93,100,84.28,75.7,-3.03,-9.09,6.06,52.909,35.272,1.08753,1.01454,32.49,22.74,60,59.44,58.89,285102283.3,25145862340,1.001238452,0.999661625,1.000837718,0.999774053,63.78378378,55.19287834,,,,,,,,20221214,,20230322,1.006981131,1.005135743,1.014020542,1.010284913
4,20230607,141683,182,8455074,59.9,59.9,59.4,59.8,,,0,59.68,59.6,59.46,59.89,85.71,84.76,78.72,-1.05,-7.48,6.43,70.842,70.842,1.06172,0.98979,25.98,15.96,60.04,59.46,58.88,285032321,25141754401,1,0.999754606,1,0.999836636,50.37037037,52.8125,,,,,,,,20221214,,20230322,1.006981131,1.005135743,1.014020542,1.010284913
5,20230608,103531,132,6187041,59.8,59.8,59.6,59.8,,,0,59.74,59.6,59.5,59.85,85.71,85.08,80.84,0.51,-5.88,6.39,51.766,51.766,0.9701,0.90156,13.21,3.66,60.05,59.5,58.95,285066518.8,25143792594,1,1.000119978,1,1.000081068,50.37037037,59.09090909,20230608,,,1.000119978,1.000081068,1.000239974,1.000162138,20221214,,,1.00712674,1.005126571,1.014314597,1.010265095
6,20230609,94019,124,5617859,59.9,59.9,59.6,59.9,,,0.17,59.8,59.64,59.55,59.83,100,90.05,83.91,2.53,-4.2,6.73,53.725,40.294,0.94233,0.85346,9.34,-3.05,60.06,59.55,59.04,285131555.9,25147655263,1.000942007,1.000228147,1.00063822,1.000153623,83.33333333,73.51778656,20230608,,,1.000288148,1.000194163,1.000576398,1.000388336,20221214,,,1.007163188,1.005142059,1.014388155,1.010296007
7,20230612,125218,146,7488435,59.9,59.9,59.7,59.8,,,-0.17,59.82,59.68,59.59,59.8,85.71,88.6,85.47,3.28,-2.7,5.98,41.739,83.479,0.97923,0.91319,14.48,5.28,60.02,59.59,59.17,285154853.7,25149021787,0.997075355,1.000081709,0.998016235,1.00005434,83.33333333,61.64383562,20230608,,,1.000273814,1.000183785,1.00054772,1.000367578,20221214,,,1.007056306,1.005061016,1.014172573,1.010133494
8,20230613,190853,166,11402091,59.9,59.9,59.6,59.8,,,0,59.82,59.72,59.63,59.78,83.33,86.84,85.93,3.83,-1.4,5.23,95.426,95.426,1.02306,0.96781,12.41,3.92,59.99,59.63,59.27,285128509.5,25147459070,1,0.999907614,1,0.999937862,83.33333333,50.29585799,20230608,,20230613,1.000273814,1.000183785,1.00054772,1.000367578,20221214,20230613,,1.006781734,1.004868482,1.013618838,1.009747628
9,20230614,125614,149,7514804,59.8,59.9,59.7,59.9,,,0.17,59.84,59.76,59.64,59.8,100,91.23,87.7,5.02,-0.11,5.13,83.743,41.871,1.02886,0.95681,13.31,2.23,60.03,59.64,59.26,285095894.6,25145543803,1.0029425,0.999885613,1.001994708,0.999923839,83.33333333,54.83870968,20230608,,20230613,1.000273814,1.000183785,1.00054772,1.000367578,20221214,20230613,,1.006496489,1.004669959,1.013043767,1.009349804
10,20230615,185799,171,11111349,59.9,59.9,59.7,59.8,,,-0.17,59.84,59.79,59.65,59.8,80,87.49,87.63,5.09,0.93,4.17,61.933,123.866,1.09049,1.05897,22.78,17.94,60.04,59.65,59.26,284995233.5,25139559822,0.99566044,0.999646922,0.997056507,0.999762026,71.42857143,66.66666667,20230608,,20230613,1.000273814,1.000183785,1.00054772,1.000367578,20221214,20230613,,1.005982221,1.00431674,1.012007461,1.008642108
11,20230616,130047,174,7756211,59.9,59.9,59.5,59.7,,,-0.17,59.8,59.8,59.66,59.8,60,78.33,84.53,4.3,1.6,2.69,37.156,92.891,1.11068,1.11951,25.89,27.25,60.04,59.66,59.28,284870629.9,25132143988,0.996077744,0.999562787,0.99735046,0.999705013,57.14285714,66.66666667,20230608,,20230613,1.000273814,1.000183785,1.00054772,1.000367578,20221214,20230613,,1.005399606,1.003917515,1.010834205,1.007842342
12,20230619,109463,183,6516385,59.7,59.7,59.4,59.6,,,-0.17,59.76,59.79,59.68,59.79,40,65.55,78.2,2.83,1.85,0.98,43.785,65.678,1.11188,1.13044,26.07,28.93,60,59.68,59.36,284747683.9,25124814903,0.998453263,0.999568415,0.998958434,0.999708378,42.85714286,60,20230608,,20230613,1.000273814,1.000183785,1.00054772,1.000367578,20221214,20230613,,1.004839842,1.003533498,1.009707746,1.007073136
13,20230620,93554,88,5570771,59.7,59.7,59.4,59.6,,,0,59.72,59.77,59.68,59.78,40,57.03,71.14,1.64,1.81,-0.16,46.777,46.777,1.13751,1.1625,30.01,33.86,60,59.68,59.37,284596594,25115815307,1,0.99946939,1,0.999641804,33.33333333,55.55555556,20230608,,20230613,1.000273814,1.000183785,1.00054772,1.000367578,20221214,20230613,,1.004196466,1.00309362,1.008413969,1.006192169
14,20230621,123645,140,7390250,59.7,60,59.6,60,,,0.67,59.74,59.79,59.69,59.77,100,71.35,71.21,3.89,2.22,1.66,103.037,20.608,1.08435,1.05856,21.84,17.87,60.03,59.69,59.36,284499941.8,25110075502,1.005832794,0.999660389,1.00394158,0.999771466,59.76331361,69.09090909,20230608,,20230613,1.000273814,1.000183785,1.00054772,1.000367578,20221214,20230613,,1.003762016,1.002795544,1.007540896,1.005595258
15,20230626,116196,146,6963136,60,60,59.8,60,,,0,59.78,59.81,59.7,59.77,100,80.9,74.44,5.6,2.9,2.7,58.098,58.098,1.08232,1.06351,21.53,18.63,60.07,59.7,59.34,284403289.6,25104335697,1,0.999660273,1,0.999771414,59.76331361,66.50246305,20230608,,20230613,1.000273814,1.000183785,1.00054772,1.000367578,20221214,20230613,,1.003339106,1.002505478,1.006691456,1.005014443
16,20230627,158812,160,9519697,60,60,59.7,60,,,0,59.84,59.82,59.73,59.77,100,87.27,78.72,6.88,3.69,3.18,79.406,79.406,1.05343,1.03661,17.08,14.5,60.1,59.73,59.36,284337999.7,25100460357,1,0.999770432,1,0.999845631,55.26315789,63.44086022,20230608,,20230613,1.000273814,1.000183785,1.00054772,1.000367578,20221214,20230613,,1.003037627,1.002297357,1.006086186,1.004597737
17,20230628,82245,101,4925742,60,60,59.8,60,,,0,59.92,59.84,59.76,59.77,100,91.51,82.98,7.8,4.52,3.29,41.122,41.122,0.98607,0.97097,6.73,4.4,60.11,59.76,59.41,284355272.9,25101490612,1,1.000060749,1,1.000041045,62.22222222,59.76331361,20230608,,,1.000266115,1.000178886,1.000532316,1.000357781,20221214,,,1.003035178,1.002290579,1.00608128,1.004584139
18,20230629,106761,112,6417978,60.2,60.2,60,60.2,,,0.33,60.04,59.88,59.8,59.77,100,94.34,86.77,10.03,5.62,4.41,71.174,35.587,0.95794,0.91016,2.4,-4.95,60.16,59.8,59.44,284408133.1,25104660193,1.002503554,1.000185895,1.00170479,1.000126271,69.64285714,66.33663366,20230608,,,1.000398821,1.000269395,1.000797836,1.000538811,20221214,,,1.003159591,1.002370334,1.006331043,1.004743787
19,20230630,101330,119,6083387,60.2,60.2,59.9,60.2,,,0,60.08,59.91,59.83,59.78,100,96.23,89.92,11.66,6.83,4.84,50.665,50.665,0.97111,0.91782,4.43,-3.77,60.21,59.83,59.46,284443927.6,25106814896,1,1.000125856,1,1.000085829,66.22516556,66.33663366,20230608,,,1.000458238,1.000310339,1.000916731,1.000620706,20221214,,,1.003222548,1.0024089,1.006457447,1.004820975
20,20230703,139453,237,8369040,60.3,60.3,59.9,60,,,-0.33,60.08,59.93,59.86,59.78,66.67,86.38,88.74,11.22,7.71,3.51,23.242,116.211,1.04735,1.0852,16.15,21.97,60.21,59.86,59.51,284386753.4,25103390238,0.993475966,0.999798997,0.995561475,0.999863596,59.88023952,53.66972477,,,,,,,,20221214,,20230703,1.003222548,1.0024089,1.006457447,1.004820975
21,20230704,130041,123,7802741,60.2,60.2,59.9,60.1,,,0.17,60.1,59.97,59.88,59.78,77.78,83.51,87,11.53,8.47,3.06,72.245,57.796,1.04347,1.08706,15.55,22.26,60.23,59.88,59.54,284333798.8,25100223866,1.001020611,0.999813794,1.000692773,0.999873867,70.05988024,61.46788991,,,,,,,,20221214,,20230703,1.003222548,1.0024089,1.006457447,1.004820975
22,20230705,134835,131,8092894,60.2,60.2,59.9,60,,,-0.17,60.1,60.01,59.9,59.78,57.14,74.72,82.91,10.85,8.95,1.91,26.967,107.868,1.12847,1.23264,30.41,47.42,60.23,59.9,59.57,284184034.6,25091254626,0.994291354,0.99947328,0.9961226,0.999642663,70.05988024,57.0212766,,,,,,,,20221214,,20230703,1.003222548,1.0024089,1.006457447,1.004820975
23,20230706,168843,185,10126612,60,60.1,59.9,60.1,,,0.17,60.08,60.06,59.91,59.77,66.67,72.04,79.29,11,9.36,1.64,112.562,56.281,1.09068,1.17492,24.23,37.99,60.26,59.91,59.57,284072915.2,25084608388,1.003994178,0.999608988,1.002705924,0.999735117,72.82608696,57.0212766,,,,,,,,20221214,,20230703,1.003222548,1.0024089,1.006457447,1.004820975
24,20230707,138178,145,8266730,60,60.1,59.6,60.1,,,0,60.06,60.07,59.93,59.76,71.43,71.84,76.81,10.98,9.68,1.3,82.907,55.271,1.06746,1.11884,20.44,28.83,60.28,59.93,59.58,283989431.4,25079615496,1.001953455,0.999706118,1.001321791,0.999800958,57.26495726,61.46788991,,,,,,,,20221214,,20230703,1.003222548,1.0024089,1.006457447,1.004820975
