,ら戳,Θユ计,Θユ掸计,Θユ肂,㏄秨絃基,㏄程蔼基,㏄程基,㏄Μ絃基,㏄5らА絬,㏄10らА絬,㏄20らА絬,㏄RSV,㏄K,㏄D,㏄MACD,㏄signal,㏄MACD-OSC,㏄瓂,㏄い禸,㏄瓂,把σ夹,把σ夹,把σ夹,把σ夹
0,20141009,2228308,1575,146729868,67,67,65.1,65.6,66.8,68.2,67.02,26.92,,,267.04,357.63,-90.58,74.78,67.02,59.25,348.173,1880.135,2.01811,88.79
1,20141017,4090438,2575,252580649,65,65,58.6,61,65.02,67.69,67.22,14.55,,,199.12,325.92,-126.81,74.05,67.22,60.4,1044.367,3046.071,2.18393,99.57
2,20141024,3266685,2022,196267820,62,62.7,57.9,58.3,63.06,66.55,67.12,2.33,,,122.09,285.16,-163.06,74.41,67.12,59.83,520.776,2745.909,2.40133,100
3,20141031,5671881,3499,316104135,58.6,58.6,53.8,58.1,61.84,65.44,66.93,20.67,,,58.76,239.88,-181.12,74.91,66.93,58.96,2594.584,3077.297,2.38457,99.04
4,20141107,2509913,1671,147729916,58.6,60.2,57,58.1,60.22,63.97,66.66,24.71,,,8.47,193.6,-185.13,75.41,66.66,57.92,1254.956,1254.956,1.86977,69.6
5,20141114,2027026,1331,121045869,59.5,60.5,58.9,59.2,58.94,62.87,66.21,34.39,,,-22.25,150.43,-172.68,75.5,66.21,56.92,1241.036,785.99,1.40147,42.82
6,20141121,2560129,1666,147609037,59.9,59.9,55.6,58.8,58.5,61.76,65.64,33.33,,,-49.26,110.49,-159.75,75.29,65.64,56,999.075,1561.054,1.09683,21.28
7,20141128,2433052,1579,142689601,59.1,59.8,57.6,57.8,58.4,60.73,65.03,30.3,,,-77.84,72.82,-150.66,75.04,65.04,55.03,644.043,1789.009,1.30246,26.35
8,20141205,4800600,2736,285892113,57.6,61.8,56.8,61,58.98,60.41,64.69,54.55,,,-73.81,43.5,-117.31,74.75,64.69,54.63,3671.047,1129.553,0.80327,0
9,20141212,5893740,3643,371425922,62.6,64,61.5,63.5,60.06,60.14,64.33,86.61,,,-49.87,24.82,-74.7,74.01,64.33,54.65,4239.357,1654.383,0.64207,0
10,20141219,2781856,2033,171431787,63,63.5,59.9,61.1,60.44,59.69,63.95,71.57,,,-49.7,9.92,-59.61,73.5,63.94,54.39,815.372,1966.484,0.69792,3.17
11,20141227,2327008,1353,144934113,60.8,63.3,60.8,62.9,61.26,59.88,63.79,89.22,69.570001,53.500001,-34.63,1.01,-35.64,73.29,63.78,54.28,2036.132,290.876,0.46844,0
12,20141231,940644,632,59023479,62.6,63.4,62.3,63,62.3,60.35,63.45,88.1,75.75,60.92,-21.64,-3.52,-18.12,72.57,63.45,54.33,627.096,313.548,0.54746,4.09
13,20150109,2548237,1794,161012831,63.9,64.6,61.5,63.2,62.74,60.86,63.15,84.44,78.65,66.83,-9.61,-4.74,-4.87,71.88,63.15,54.42,1306.788,1241.449,0.79667,16.98
14,20150116,4080711,2297,264523940,63.2,66.3,63.2,64.1,62.86,61.46,62.71,79.44,78.91,70.86,7.1,-2.37,9.47,70.26,62.71,55.17,2386.831,1693.88,0.55684,4.61
15,20150123,9281846,5235,625437780,64.8,69.4,63.9,67.6,64.16,62.3,62.58,85.71,81.18,74.3,48.03,7.71,40.32,69.69,62.58,55.48,6466.005,2815.841,0.56224,6.69
16,20150130,6082674,3772,419174588,67.9,70.9,67.1,67.2,65.02,63.14,62.45,73.76,78.71,75.77,76.36,21.44,54.92,69.08,62.45,55.82,2618.929,3463.745,0.72112,27.08
17,20150206,3233607,2217,214223537,67.3,67.7,65,66.7,65.76,64.03,62.38,61.82,73.08,74.87,93.69,35.89,57.81,68.79,62.38,55.97,1385.832,1847.775,0.76385,35.42
18,20150213,2063678,1527,136679855,67,67.5,65.5,66.2,66.36,64.55,62.48,57.27,67.81,72.52,102.22,49.16,53.07,69.06,62.48,55.9,707.547,1356.131,0.84838,45.56
19,20150226,2313499,1682,156621716,66.5,68.5,66.5,68.2,67.18,65.02,62.58,73.27,69.63,71.56,123.69,64.06,59.63,69.44,62.58,55.72,2046.557,266.942,1.026,100
20,20150306,5525677,3652,382086412,68.8,70.4,67.5,68.6,67.38,65.77,62.73,75.53,71.6,71.57,142.29,79.71,62.58,69.97,62.73,55.49,2930.283,2595.394,0.858,69.87
21,20150313,3567820,2357,246201936,68.1,69.9,68.1,68.8,67.7,66.36,63.12,77.66,73.62,72.25,156.84,95.14,61.71,70.77,63.12,55.47,2413.525,1154.295,0.66347,34.98
22,20150320,5835996,3548,408635837,69,71,68.6,69.6,68.28,67.02,63.69,82.05,76.43,73.64,172.84,110.68,62.16,71.5,63.68,55.87,3448.543,2387.453,0.59084,21.95
23,20150327,5602349,3491,394935649,71.4,72.2,69.1,70,69.04,67.7,64.28,73.49,75.45,74.24,186.59,125.86,60.73,72.11,64.28,56.45,2920.373,2681.976,0.75295,42.94
24,20150402,3136313,2055,220472225,70.6,71.1,69.3,70.4,69.48,68.33,64.9,75,75.3,74.59,198.42,140.37,58.05,72.62,64.9,57.17,1710.716,1425.597,0.72898,36.69
25,20150410,2679472,1948,186379429,70.9,70.9,68.3,68.8,69.52,68.45,65.38,52.78,67.79,72.32,192.68,150.83,41.84,72.81,65.37,57.94,372.149,2307.323,1.04148,100
26,20150417,2399559,1834,164317076,68.4,69.4,67.7,68.8,69.52,68.61,65.88,49.25,61.61,68.75,185.97,157.86,28.11,72.81,65.87,58.94,1482.081,917.478,1.13061,100
27,20150424,2924784,2167,198004576,68.4,69.2,66.6,67.3,69.06,68.67,66.35,14.04,45.75,61.08,166.64,159.62,7.02,72.22,66.35,60.48,974.928,1949.856,1.45384,100
28,20150430,2866510,2132,189994755,67.3,67.7,65.4,66.7,68.4,68.72,66.64,19.12,36.87,53.01,144.81,156.65,-11.85,71.97,66.63,61.3,1218.267,1648.243,1.68574,100
29,20150508,2976796,2018,193548527,66.9,66.9,63,63.3,66.98,68.23,66.62,3.26,25.67,43.9,98.93,145.11,-46.18,71.99,66.62,61.26,202.963,2773.833,1.87957,100
30,20150515,2944180,2167,181108291,63.2,63.6,60.2,62.3,65.68,67.6,66.68,17.5,22.95,36.92,53.88,126.86,-72.99,71.82,66.68,61.55,1226.742,1717.438,2.23284,100
31,20150522,1740656,1408,107288107,62.3,62.5,61,61.6,64.24,66.88,66.62,11.67,19.19,31.01,12.38,103.97,-91.58,71.97,66.62,61.27,605.446,1135.21,2.23603,100
32,20150529,1916136,1439,118869401,61.6,63.3,61,62.1,63.2,66.13,66.57,17.43,18.6,26.87,-16.28,79.92,-96.2,72.06,66.57,61.09,1074.906,841.23,2.07961,90.49
33,20150605,2586889,1927,157746616,62.1,62.8,59,60,61.86,65.13,66.41,8.4,15.2,22.98,-55.3,52.87,-108.17,72.45,66.41,60.38,799.584,1787.305,1.47873,53.97
34,20150612,2777923,1984,159773111,60,60,56.2,56.6,60.52,63.75,66.04,3.03,11.14,19.03,-112.37,19.83,-132.19,73.39,66.04,58.69,264.564,2513.359,2.28716,100
35,20150618,2095280,1619,119866868,56.6,58.3,55.7,57.3,59.52,62.6,65.52,11.85,11.38,16.48,-150.21,-14.18,-136.03,73.76,65.52,57.29,1210.606,884.674,1.79916,68.68
